dataset,brid,pipeid
utilb,"152,847",{F8C9CB7F-75F3-4F33-BFE3-2535AB59C31B}
utilb,"152,848",{59EE914E-E263-4B6E-9E26-6E106963EE3A}
utilb,"152,849",{C8EDA28A-E35C-41E2-9B50-287909DECE13}
utilb,"152,850",{34B4072E-5697-4D57-8D19-7E554B56C450}
utilb,"152,854",{A9F7D1CB-8757-43DA-86E0-44C53ABF44CC}
utilb,"152,857",{1D66BD1C-1398-47F2-86AA-7F7269A1E3C6}
utilb,"152,859",{CD1D8549-4138-45B6-B058-0DE0990E5442}
utilb,"15,286",{6C7DCF53-33C7-4EA4-9543-B6867D8485B1}
utilb,"152,861",{251F369F-B8C5-41D6-B850-E669EE29DF60}
utilb,"152,864",{3D65DB4C-7E81-456F-A94B-AFB66C4C43AD}
utilb,"152,865",{0BE5BF17-B2F2-49A3-896B-943933FC3C8B}
utilb,"15,287",{6C7DCF53-33C7-4EA4-9543-B6867D8485B1}
utilb,"152,870",{3E0927EE-003F-439C-8737-F4A2DAE551D8}
utilb,"152,875",{BE50EE52-FE95-4849-A9B3-B917B9A9C004}
utilb,"152,877",{C843AA65-D946-4891-9C35-B5FEDB44FE3D}
utilb,"152,879",{D5FB9A65-A7CF-499E-B821-9E218CEFC4B9}
utilb,"15,288",{7750E88B-2E50-4983-8359-DC544FB724C2}
utilb,"152,880",{CD0958B1-BCBE-4363-88DD-1B8F321B5513}
utilb,"152,889",{DD08E5C4-972F-46E4-B5A5-555B2CF81F10}
utilb,"15,289",{A18C0D64-457A-4875-9DCD-26344FF2EC54}
utilb,"152,890",
utilb,"152,892",{A4E3C021-1F02-465E-9075-BAD25F6452CE}
utilb,"152,893",{E33CB630-2125-4A37-8C33-82B38383B748}
utilb,"1,529",{AECAB313-5BF2-45CE-BECA-6E05D11F2BB3}
utilb,"15,290",{F9D637BB-8AF4-495A-A876-E8696B090E4B}
utilb,"152,907",{1255A83F-2B80-40DF-99AE-EC0947D6896E}
utilb,"152,909",{5DDEBA6C-831B-4FE6-86F5-8362263B3874}
utilb,"15,291",{C70A6557-E424-4AC9-A6B0-4B7240565944}
utilb,"152,910",{3E126268-D51C-4307-9D9B-7EB278715974}
utilb,"15,292",{3D0C0A5E-9312-4146-869E-F3C1FF0B18D5}
utilb,"152,921",{2DA2042A-F18E-4EBD-9E9F-992BCBE88D06}
utilb,"15,293",{01FCE63D-C25B-4E31-8999-EA64431D840C}
utilb,"152,930",{D7708AF8-80AF-4576-8026-80EEA65F5546}
utilb,"152,931",{6A0E523F-8FF9-4D8C-AA51-6356873B9ED5}
utilb,"15,294",{D997F1CE-DA0A-4102-8753-1C2179A95E1D}
utilb,"152,943",{A48086CD-45C3-4894-8CE4-8CF9EBE1D110}
utilb,"152,946",{102469D0-9324-4E87-A24A-77E503B97C3D}
utilb,"152,949",{FFD16D40-C17D-43C1-A452-4EF865340B54}
utilb,"15,295",{CC2C0B19-862D-4011-89E7-8C008EE5CA75}
utilb,"152,950",{1C683CDB-6944-428F-99B8-CBF533906139}
utilb,"152,956",{E0FBFEFF-DFC2-404D-B802-6C110B2F9782}
utilb,"152,957",{4144C98B-E8F9-476A-BB03-87B99E24CAAF}
utilb,"152,958",{303E99E9-EB44-44A0-A382-A2477FE823F6}
utilb,"15,296",{B75FF1C3-4119-452C-A439-D41877A29092}
utilb,"152,960",{1CDFDE35-3C05-4B4C-8E7F-0B14BF3A1D1E}
